Device,Wattage (W),Quantity,Hours/Day,Days/Month,Energy (kWh/Month)
Tube Light,1855,8,10.9,30,4832.39
Projector,1711,16,8.9,27,6567.27
Computer,690,8,9.1,12,604.09
Tube Light,1422,13,4.9,23,2101.09
LED Light,1989,13,4.2,21,2289.53
LED Light,787,9,10.4,28,2064.88
Printer,1746,17,5.8,18,3118.43
Fridge,53,8,7.2,22,67.15
Water Cooler,468,20,6.6,12,740.08
AC (1.5 Ton),1590,2,8.2,17,444.61
Printer,546,3,10.9,18,322.2
LED Light,571,11,11.8,11,814.3
AC (1.5 Ton),86,7,5.4,15,48.95
Projector,1685,15,8.6,29,6271.67
Projector,1191,5,7.8,29,1347.73
Fridge,1397,14,7.5,16,2361.64
Water Cooler,346,5,9.8,11,186.73
Projector,1539,5,10.1,11,851.02
Smartboard,1932,4,6.4,29,1442.85
Computer,322,5,8.2,19,251.56
WiFi Router,1099,8,3.5,30,917.35
Tube Light,1510,4,5.1,16,493.56
Lab Equipment,1131,3,4.9,25,418.8
Computer,537,11,10.9,20,1284.99
Computer,1401,18,4.4,15,1671.55
Projector,1947,12,7.9,22,4081.36
Heater,1984,15,8.2,27,6624.27
Computer,1061,19,11.2,13,2927.91
Fridge,1561,15,2.6,14,847.32
Heater,469,8,9.2,25,863.33
Lab Equipment,1303,9,7.1,24,1995.87
Tube Light,1454,15,8.7,19,3614.51
Printer,842,9,2.9,25,540.63
Computer,1384,12,5.9,11,1074.65
Water Cooler,848,15,1.2,19,288.25
Projector,1028,16,7.6,27,3369.7
Fridge,1158,11,3.4,19,819.33
Tube Light,1062,20,7.1,11,1655.99
AC (1.5 Ton),1035,8,5.8,16,767.93
Printer,1147,7,5.2,19,792.76
Printer,1391,9,6.2,14,1088.58
LED Light,185,11,2.1,18,78.58
Tube Light,1749,20,8.5,18,5376.69
Ceiling Fan,808,13,1.2,18,218.6
WiFi Router,734,9,11.4,20,1501.43
Printer,1644,13,4.5,17,1621.36
WiFi Router,1167,6,11.5,26,2094.98
Ceiling Fan,251,13,6.4,21,439.06
LED Light,1427,14,9.3,18,3355.48
Heater,131,4,1.3,24,16.19
Projector,175,15,5.6,26,382.54
Printer,894,17,1.9,17,490.77
Smartboard,1191,20,3.8,16,1448.56
Tube Light,1704,14,6,25,3586.89
Printer,1407,16,8,27,4843.81
Water Cooler,1307,14,8,14,2038.35
Tube Light,552,14,6.8,29,1515.8
LED Light,1738,14,6.3,28,4315.26
Computer,489,6,3.8,26,288.7
Heater,72,5,1.7,16,9.52
Ceiling Fan,289,6,6.8,12,141.43
Projector,339,16,6.4,14,489.67
AC (1.5 Ton),1939,8,9.3,16,2302.16
Printer,1513,13,2.5,28,1374.74
Ceiling Fan,922,10,5.4,25,1253.14
Computer,1799,10,1.7,16,476.71
Water Cooler,99,3,6.2,12,22.08
Fridge,1795,13,6.9,11,1769.32
Computer,1271,2,4.1,19,195.88
